"ForestTypeGroup","AgeGroup","GamCarbon"
"White / red / jack pine",10,32.6225935174842
"White / red / jack pine",20,43.5322472329531
"White / red / jack pine",30,54.3294588064854
"White / red / jack pine",40,65.7607604198322
"White / red / jack pine",50,78.1612041812964
"White / red / jack pine",60,90.4619021259663
"White / red / jack pine",70,100.289583061152
"White / red / jack pine",80,105.429848774079
"White / red / jack pine",90,105.641299509191
"White / red / jack pine",100,103.296197010481
"White / red / jack pine",110,102.134876240934
"White / red / jack pine",120,104.929679228181
"White / red / jack pine",130,111.775914692193
"White / red / jack pine",140,120.252725550685
"White / red / jack pine",150,127.218021248733
"White / red / jack pine",160,130.77337130491
"White / red / jack pine",170,130.966895734443
"White / red / jack pine",180,128.978008391791
"White / red / jack pine",190,125.942500553424
"White / red / jack pine",200,122.750553717438
"Woodland hardwoods",0,20.3017114497225
"Woodland hardwoods",10,17.2241736889266
"Woodland hardwoods",20,15.0370689404917
"Woodland hardwoods",30,14.3463004946205
"Woodland hardwoods",40,15.1005435265043
"Woodland hardwoods",50,16.722556266848
"Woodland hardwoods",60,18.6204731201233
"Woodland hardwoods",70,20.5999686741545
"Woodland hardwoods",80,22.8491122829453
"Woodland hardwoods",90,25.553709219197
"Woodland hardwoods",100,28.5083522446474
"Woodland hardwoods",110,31.0754212567112
"Woodland hardwoods",120,32.5395971052977
"Woodland hardwoods",130,32.5749027434084
"Woodland hardwoods",140,31.457795271772
"Woodland hardwoods",150,29.8770522442298
"Woodland hardwoods",160,28.5110211188324
"Woodland hardwoods",170,27.6963512576326
"Woodland hardwoods",180,27.3911955067795
"Woodland hardwoods",190,27.3733597627325
"Woodland hardwoods",200,27.4525066506732
