"ForestTypeGroup","AgeGroup","carbon","carbon_se","total","total_se","rfCarbon","rfCarbonUpper","rfCarbonLower","ShortName","Age","Area","Prop","originalArea","AreaSE","ForestTypeGroupCode"
"Pinyon / juniper",50,18.6702005613321,1.14419577415045,48650277.8205892,5170651.59751149,-2.74612687618175,-2.5778315889037,-2.91442216345979,"PJ","51-60 years",3159895.61094104,0.0150269555667048,3112412,4.5,180
"Pinyon / juniper",60,24.6662206757843,1.08791130970436,114578655.672449,9347734.9122276,-3.62805805481761,-3.4680414295721,-3.78807468006312,"PJ","61-70 years",3631528.82225118,0.0150269555667048,3576958,4.14,180
"Pinyon / juniper",70,23.3885279511954,1.00559341312854,72385496.573144,6393823.68912832,-3.44012722252851,-3.29221841516289,-3.58803602989414,"PJ","71-80 years",3375986.80369287,0.0150269555667048,3325256,4.28,180
"Pinyon / juniper",80,23.8263549607243,1.07234985384044,58903583.8474049,5100951.15805062,-3.50452548724109,-3.34679773575674,-3.66225323872544,"PJ","81-90 years",3426317.11504522,0.0150269555667048,3374830,4.22,180
"Pinyon / juniper",90,24.7793004889073,1.4079864897282,57294974.8534373,5754784.70072541,-3.64469052284871,-3.43759528956282,-3.8517857561346,"PJ","91-100 years",3684130.2617452,0.0150269555667048,3628769,4.03,180
"Pinyon / juniper",100,22.9722130626736,0.762530400282316,45988852.6050071,3127709.97051321,-3.37889309167016,-3.26673547347843,-3.49105070986189,"PJ","101-110 years",3311369.80695403,0.0150269555667048,3261610,4.26,180
"Pinyon / juniper",110,24.9174958981291,0.971623706981698,52790011.9196561,4070857.54739514,-3.66501714581038,-3.52210480983881,-3.80792948178196,"PJ","111-120 years",3261936.98209128,0.0150269555667048,3212920,4.28,180
"Pinyon / juniper",120,24.7634257749552,0.77995752102282,46789789.8822793,3115852.60162319,-3.64235557317892,-3.52763466786648,-3.75707647849136,"PJ","121-130 years",3248055.38393255,0.0150269555667048,3199247,4.3,180
"Pinyon / juniper",130,25.6621976820124,0.803827529233681,45319441.2164169,3039908.5092651,-3.7745524224532,-3.65632057086746,-3.89278427403894,"PJ","131-140 years",3322365.03170785,0.0150269555667048,3272440,4.26,180
"Pinyon / juniper",140,27.2129039314034,0.839723343218879,50904414.4622185,3322079.35101094,-4.00263974773535,-3.87912812107686,-4.12615137439385,"PJ","141-150 years",3134207.59831673,0.0150269555667048,3087110,4.37,180
"Pinyon / juniper",150,25.2812311775982,0.910846213025171,40387269.0762912,2919922.36134846,-3.71851754734513,-3.58454473556735,-3.85249035912291,"PJ","151-160 years",2623351.99384737,0.0150269555667048,2583931,4.76,180
"Pinyon / juniper",160,27.7839246013426,0.985929306633491,44370338.9162673,3188440.51301477,-4.08662894771337,-3.9416124569656,-4.23164543846114,"PJ","161-170 years",2459752.59291888,0.0150269555667048,2422790,4.96,180
"Pinyon / juniper",170,28.8348240661863,1.0074984079298,43821967.3948856,3200229.13167905,-4.24120164526378,-4.0930126396536,-4.38939065087395,"PJ","171-180 years",2492728.11461824,0.0150269555667048,2455270,4.92,180
"Pinyon / juniper",180,27.2361858162018,0.976827638878764,37129189.2500389,2880473.26113829,-4.00606418923308,-3.86238642724493,-4.14974195122123,"PJ","181-190 years",2133401.52999721,0.0150269555667048,2101343,5.36,180
"Pinyon / juniper",190,30.7001571989788,1.06113306545568,37870883.8447712,2995659.8923714,-4.51556620991676,-4.359488292024,-4.67164412780952,"PJ","191-200 years",2039501.4983946,0.0150269555667048,2008854,5.46,180
"Pinyon / juniper",200,32.4837151979764,0.506256377131563,204166886.67629,7160154.94986233,-4.77790278954731,-4.70343951643397,-4.85236606266066,"PJ","200+ years",9970945.96192791,0.0150269555667048,9821113,2.35,180
"Pinyon / juniper",999,NA,NA,NA,NA,NA,NA,NA,"PJ","Others",971931.166452172,0.0150269555667048,957326,7.69,180
"Pinyon / juniper",NA,21.0527536476457,1.29276339080054,13539957.6786064,1648111.48488207,-3.09656730357632,-2.90641978585903,-3.2867148212936,NA,NA,NA,NA,NA,NA,NA
"Ponderosa pine",0,32.8532678412231,2.62715634523958,9101671.76491824,1461287.30155738,-4.83225884439793,-4.44584067904968,-5.21867700974618,"PP","0-10 years",583465.29362454,0.000780326832658294,583010,9.48,220
"Ponderosa pine",10,31.0634926117179,1.88799772072728,11700569.4760371,1582251.24742251,-4.56900779661605,-4.29130958624989,-4.8467060069822,"PP","11-20 years",649797.054077079,0.000780326832658294,649290,8.43,220
"Ponderosa pine",20,38.611205030505,2.46133882230201,15710413.1849646,2187465.27530569,-5.6791713355043,-5.3171426219343,-6.04120004907431,"PP","21-30 years",652541.195404189,0.000780326832658294,652032,8.41,220
"Ponderosa pine",30,41.6965676120152,1.93292195190573,22546385.8941724,3718428.69946461,-6.13298526642686,-5.8486793263673,-6.41729120648642,"PP","31-40 years",730553.070163329,0.000780326832658294,729983,8.1,220
"Ponderosa pine",40,50.8256017181434,3.24761853477492,31860575.4975982,4753850.25291045,-7.47573923578378,-6.99805971045494,-7.95341876111262,"PP","41-50 years",840896.173847933,0.000780326832658294,840240,7.73,220
"Ponderosa pine",50,54.4014073314696,3.82506414648878,37530899.1862182,4093145.23246955,-8.00169051662294,-7.43907677172578,-8.5643042615201,"PP","51-60 years",1093815.53361085,0.000780326832658294,1092962,6.78,220
"Ponderosa pine",60,56.0419814650054,2.61422951852383,50231396.8112187,4682714.30736842,-8.24299615796683,-7.85847934906899,-8.62751296686466,"PP","61-70 years",1424920.90401582,0.000780326832658294,1423809,5.83,220
"Ponderosa pine",70,61.7740434885178,3.41805706133602,85089010.70243,9024454.03176498,-9.0861027720066,-8.58335410952582,-9.58885143448738,"PP","71-80 years",2130616.57728536,0.000780326832658294,2128954,4.77,220
"Ponderosa pine",80,59.7170763696296,2.05246234774787,130391442.398469,8653711.93328709,-8.78355151284658,-8.48166284287831,-9.08544018281486,"PP","81-90 years",3055157.02100147,0.000780326832658294,3052773,4.08,220
"Ponderosa pine",90,65.8373897561424,2.01277934842554,129558955.482434,8241859.6386897,-9.68376450338976,-9.38771265079303,-9.9798163559865,"PP","91-100 years",2851795.33241914,0.000780326832658294,2849570,4.19,220
